Value\AmountOfRepeat;10000;20000;30000;40000;50000;60000;70000;80000;90000;100000;
add(element);;;;;;;;;;;
timeOfHashSet;1557600;2037000;1739700;2684400;3117300;3025300;3598400;5723000;4947000;6293500;
timeOfLinkedHashSet;2504300;3153700;2077500;3045700;3180200;3109200;18880800;5363000;5061500;5929300;
timeOfTreeSet;6347000;5679800;5676500;6745000;12620900;10731900;13354400;15377700;18474900;21171600;
remove(element);;;;;;;;;;;
timeOfHashSet;11000;8300;8000;9200;14100;8800;8300;11500;11900;11700;
timeOfLinkedHashSet;700;1100;1900;2000;2600;5500;800;1400;2700;2800;
timeOfTreeSet;10300;4600;4300;10100;10300;4900;22700;5500;6300;6200;
